[22:04:58] [Control] Admin system initialized
[22:04:58] [Control] Your password is AWES0ME
[22:04:58] [HTTP] listening HTTP at 9000
[22:05:39] [HTTP] GET / from 127.0.0.1
[22:05:40] [HTTP] GET /css/style.css from 127.0.0.1
[22:05:40] [HTTP] GET /js/ui.js from 127.0.0.1
[22:05:40] [HTTP] GET /js/connection.js from 127.0.0.1
[22:05:40] [HTTP] GET /js/events.js from 127.0.0.1
[22:05:40] [HTTP] GET /img/bg.png from 127.0.0.1
[22:05:40] [HTTP] GET /favicon.ico from 127.0.0.1
